,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
79,basic-attention-token,Infra,Blockchain Infra,Advertising,No growth metrics; ,0.20995760366419408,2.5,1.0,0.0,3.0,0.5,,120694140.0,121036500.0,100.28365917351083,241730640.0,1.0,,,241730640.0,,,241730640.0,P/S (G missing/â¤0),1.0,1.0,0.0,3.0,2.5,2,5.0,,,,False,0.2,,False,,,,0.0
80,dexe,Finance,Dex,DEX,No growth metrics; ,0.27320428621063964,2.5,1.0,0.0,3.0,0.5,,1071227887.0,0.0,0.0,1071227887.0,1.0,,,1071227887.0,,,1071227887.0,P/S (G missing/â¤0),1.0,1.0,0.0,3.0,2.5,3,5.0,,,,False,0.25,,False,,,,0.0
81,vechain,Base Layer,L1,L1,,0.21445565424193855,2.75,1.0,0.0,3.0,0.55,,389829004.0,0.0,0.0,389829004.0,1.0,-0.9956802150301571,tvl_growth,389829004.0,90242687245.18948,109595741778.90723,389829004.0,P/S (G missing/â¤0),1.0,1.0,0.0,3.0,2.75,2,5.0,,,,False,0.2,,False,,,,0.0
82,just,Finance,Money Markets,Stables,No growth metrics; ,0.21091311994291997,3.0,1.0,0.0,1.0,0.6,,756978627.0,0.0,0.0,756978627.0,1.0,,,756978627.0,,,756978627.0,P/S (G missing/â¤0),1.0,1.0,0.0,1.0,3.0,3,5.0,,,,False,0.225,,False,,,,0.0
83,cosmos,Base Layer,L1,L1,No growth metrics; ,0.21552556835337022,3.0,1.0,0.0,1.0,0.6,,804636809.0,0.0,0.0,804636809.0,1.0,,,804636809.0,,,804636809.0,P/S (G missing/â¤0),1.0,1.0,0.0,1.0,3.0,3,5.0,,,,False,0.25,,False,,,,0.0
84,story-2,Base Layer,L1,IP,No growth metrics; ,0.2998709256732829,2.0,1.0,0.0,2.0,0.4,,107333824.0,196520852.28285718,183.093124757073,303854676.2828572,1.0,,,303854676.2828572,,,303854676.2828572,P/S (G missing/â¤0),1.0,1.0,0.0,2.0,2.0,3,2.0,,,,False,0.2,,False,,,,0.0
85,midnight-3,Base Layer,L1,L1,No growth metrics; ,0.3089741373693333,2.0,1.0,0.0,2.0,0.4,,517713822.0,0.0,0.0,517713822.0,1.0,,,517713822.0,,,517713822.0,P/S (G missing/â¤0),1.0,1.0,0.0,2.0,2.0,3,4.0,,,,False,0.225,,False,,,,0.0
86,sun-token,Finance,Dex,AMM,No growth metrics; ,0.5106098451537003,2.5,2.0,0.0,1.0,0.5,,316078327.0,172838662.2685607,54.682225101932005,488916989.2685607,1.0,,,488916989.2685607,,,488916989.2685607,P/S (G missing/â¤0),1.0,2.0,0.0,1.0,2.5,4,5.0,,,,False,0.225,,False,,,,0.0
87,falcon-finance-ff,Finance,Stablecoin,Yield,No growth metrics; ,0.26627636487197887,2.0,2.0,0.0,1.0,0.4,,182299912.0,495234093.3333331,271.65898650205224,677534005.333333,1.0,,,677534005.333333,,,677534005.333333,P/S (G missing/â¤0),1.0,2.0,0.0,1.0,2.0,2,1.0,,,,False,0.225,,False,,,,0.0
88,terra-luna,Base Layer,L1,L1,No growth metrics; ,0.5931827568312351,2.5,1.0,0.0,1.0,0.5,,336280606.0,0.0,0.0,336280606.0,1.0,,,336280606.0,,,336280606.0,P/S (G missing/â¤0),1.0,1.0,0.0,1.0,2.5,2,4.0,,,,False,0.2,,False,,,,0.0
89,berachain-bera,Base Layer,L1,L1,No growth metrics; ,0.2682677899509017,2.5,,0.0,,0.5,,60270614.0,91678768.12476906,152.11188677249757,151949382.12476906,1.0,,,151949382.12476906,,,151949382.12476906,P/S (G missing/â¤0),1.0,,0.0,,2.5,2,2.0,,,,False,0.2,,False,,,,0.0
